"ID","soil_type","item","value"
"QY107","Non-calcareous","Critical soil total Cd",0.204045673848443
"QY110","Non-calcareous","Critical soil total Cd",0.254326052421916
"QY154","Non-calcareous","Critical soil total Cd",0.450162025855278
"QY163","Non-calcareous","Critical soil total Cd",0.370540508956777
"QY165","Calcareous","Critical soil total Cd",0.551048207509488
"QY175","Calcareous","Critical soil total Cd",0.404307000649363
"QY182","Calcareous","Critical soil total Cd",0.389237898797469
"QY189","Calcareous","Critical soil total Cd",0.876845894036538
"QY193","Calcareous","Critical soil total Cd",0.381919039993638
"QY199","Calcareous","Critical soil total Cd",0.553407364728795
"QY200","Calcareous","Critical soil total Cd",0.614606302342245
"QY207","Non-calcareous","Critical soil total Cd",0.474132308931706
"QY208","Calcareous","Critical soil total Cd",0.572668265228571
"QY222","Non-calcareous","Critical soil total Cd",0.327770899222912
"QY231","Calcareous","Critical soil total Cd",0.544474672030565
"QY233","Calcareous","Critical soil total Cd",0.61266160685461
"QY236","Calcareous","Critical soil total Cd",0.231133293275393
"QY242","Calcareous","Critical soil total Cd",0.890127578811375
"QY243","Calcareous","Critical soil total Cd",1.05210663130167
"QY246","Calcareous","Critical soil total Cd",0.471263847720897
"QY248","Calcareous","Critical soil total Cd",0.464702535417986
"QY264","Non-calcareous","Critical soil total Cd",0.473340322097348
"QY267","Calcareous","Critical soil total Cd",0.35828283238454
"QY270","Calcareous","Critical soil total Cd",0.490573617201265
"QY274","Calcareous","Critical soil total Cd",0.52106482669827
"QY278","Calcareous","Critical soil total Cd",0.45522545287854
"QY284","Calcareous","Critical soil total Cd",0.879139403129187
"QY285","Calcareous","Critical soil total Cd",0.684376652035958
"QY291","Non-calcareous","Critical soil total Cd",0.287165965706258
"QY293","Calcareous","Critical soil total Cd",0.534256959182328
"QY295","Calcareous","Critical soil total Cd",0.451423129805401
"QY296","Non-calcareous","Critical soil total Cd",0.441732539990438
"QY297","Calcareous","Critical soil total Cd",0.568832229325886
"QY299","Non-calcareous","Critical soil total Cd",0.407208463363287
"QY308","Calcareous","Critical soil total Cd",0.278512650088938
"QY310","Calcareous","Critical soil total Cd",0.293367513494088
"QY313","Calcareous","Critical soil total Cd",1.32955763359968
"QY003","Calcareous","Critical soil solution Cd",0.282195056232221
"QY024","Calcareous","Critical soil solution Cd",0.343061292708435
"QY031","Non-calcareous","Critical soil solution Cd",0.227517732873874
"QY040","Calcareous","Critical soil solution Cd",0.153543329092184
"QY049","Calcareous","Critical soil solution Cd",0.458484337074387
"QY065","Non-calcareous","Critical soil solution Cd",0.512986807512519
"QY070","Calcareous","Critical soil solution Cd",0.370751391189894
"QY073","Non-calcareous","Critical soil solution Cd",0.303576893414447
"QY076","Calcareous","Critical soil solution Cd",0.362584477423867
"QY077","Non-calcareous","Critical soil solution Cd",0.193173799998419
"QY079","Calcareous","Critical soil solution Cd",0.454400652375177
"QY081","Calcareous","Critical soil solution Cd",0.568854387372425
"QY085","Non-calcareous","Critical soil solution Cd",0.195730111189966
"QY087","Calcareous","Critical soil solution Cd",0.362423601636118
"QY090","Calcareous","Critical soil solution Cd",0.413961989329473
"QY094","Calcareous","Critical soil solution Cd",0.557181187889176
"QY095","Non-calcareous","Critical soil solution Cd",0.373089153951298
"QY101","Non-calcareous","Critical soil solution Cd",0.313653073277792
"QY106","Calcareous","Critical soil solution Cd",0.189170670435305
"QY107","Non-calcareous","Critical soil solution Cd",0.127378834976047
"QY110","Non-calcareous","Critical soil solution Cd",0.32290562112148
"QY154","Non-calcareous","Critical soil solution Cd",0.234768788785567
"QY163","Non-calcareous","Critical soil solution Cd",0.257302842601704
"QY165","Calcareous","Critical soil solution Cd",0.19134362519088
"QY175","Calcareous","Critical soil solution Cd",0.485808016349072
"QY182","Calcareous","Critical soil solution Cd",0.169057758182127
"QY189","Calcareous","Critical soil solution Cd",1.13718586200633
"QY193","Calcareous","Critical soil solution Cd",0.292668430622433
"QY199","Calcareous","Critical soil solution Cd",0.132675105886145
"QY200","Calcareous","Critical soil solution Cd",0.146467405780241
"QY207","Non-calcareous","Critical soil solution Cd",0.388743127975537
"QY208","Calcareous","Critical soil solution Cd",0.231680528478088
"QY222","Non-calcareous","Critical soil solution Cd",0.425824351772347
"QY231","Calcareous","Critical soil solution Cd",0.443451716589807
"QY233","Calcareous","Critical soil solution Cd",0.534403986178544
"QY236","Calcareous","Critical soil solution Cd",0.268492226491349
"QY242","Calcareous","Critical soil solution Cd",0.185007190095027
"QY243","Calcareous","Critical soil solution Cd",0.194530931130013
"QY246","Calcareous","Critical soil solution Cd",0.490677715331465
"QY248","Calcareous","Critical soil solution Cd",0.567434868085961
"QY264","Non-calcareous","Critical soil solution Cd",0.470980552886772
"QY267","Calcareous","Critical soil solution Cd",0.372683907301697
"QY270","Calcareous","Critical soil solution Cd",0.218044965810804
"QY274","Calcareous","Critical soil solution Cd",0.550116140633851
"QY278","Calcareous","Critical soil solution Cd",0.371370218200641
"QY284","Calcareous","Critical soil solution Cd",0.627739879333473
"QY285","Calcareous","Critical soil solution Cd",0.493132084294477
"QY291","Non-calcareous","Critical soil solution Cd",0.159130080898718
"QY293","Calcareous","Critical soil solution Cd",0.493001646759953
"QY295","Calcareous","Critical soil solution Cd",0.369961081824382
"QY296","Non-calcareous","Critical soil solution Cd",0.489846760881032
"QY297","Calcareous","Critical soil solution Cd",0.490636182428466
"QY299","Non-calcareous","Critical soil solution Cd",0.588336728854184
"QY308","Calcareous","Critical soil solution Cd",0.207529898501187
"QY310","Calcareous","Critical soil solution Cd",0.33929079334704
"QY313","Calcareous","Critical soil solution Cd",0.284102309170198
